Name,Year of release,Rating,Genre,votes
Julia,1977.0,7.2,Drama            ,"8,410"
Tom Jones,1963.0,6.5,Adventure Comedy History            ,"11,150"
Yankee Doodle Dandy,1942.0,7.7,Biography Drama Musical            ,"13,573"
The Diary of Anne Frank,1959.0,7.4,Biography Drama Family            ,"11,653"
Separate Tables,1958.0,7.4,Drama Romance            ,"6,504"
Hamlet,1948.0,7.6,Drama            ,"14,718"
Anne of the Thousand Days,1969.0,7.5,Biography Drama History            ,"6,479"
Wuthering Heights,1939.0,7.6,Drama Romance            ,"15,748"
The Heiress,1949.0,8.2,Drama Romance            ,"12,708"
La Grande Illusion,1937.0,8.1,Drama War            ,"32,834"
Battleground,1949.0,7.4,Action Drama History            ,"6,374"
Mutiny on the Bounty,1935.0,7.7,Adventure Biography Drama            ,"20,046"
Foreign Correspondent,1940.0,7.5,Action Romance Thriller            ,"17,583"
For Whom the Bell Tolls,1943.0,6.9,Adventure Drama History            ,"8,073"
Captain Blood,1935.0,7.7,Action Adventure            ,"12,502"
Gentleman's Agreement,1947.0,7.2,Drama Romance            ,"14,279"
